frame,dt,class_id,class_name,tid,state,d_px,long_edge_px,mpp,v_raw_kmh,v_old_kmh,v_ema_kmh,v_ws_kmh,v_ws_ema_kmh,wbbox,wedge,wdv,whomo,W_raw,W_final,W_use
5,0.16666666666666666,3,car,11,unknown,0.22256967614920378,21.219512939453125,0.22620688861691218,1.0874907491511996,1.0874907491511996,1.0874907491511996,1.0874907491511996,1.0874907491511996,1.0,0.4742949865140569,1.0,0.9353593015446608,0.4436362273119226,0.5549089818495381,0.5549089818495381
5,0.16666666666666666,3,car,12,unknown,1.0753610907310684,24.765892028808594,0.19381494494187668,4.501894692801856,4.501894692801856,4.501894692801856,4.501894692801856,4.501894692801856,1.0,0.4936833687978423,1.0,0.9353593015446608,0.46177133102296497,0.5694170648183721,0.5694170648183721
5,0.16666666666666666,4,van,13,unknown,1.0632048008301571,38.40240478515625,0.1302001795974157,2.990076249965495,2.990076249965495,2.990076249965495,2.990076249965495,2.990076249965495,1.0,0.9517082993953837,1.0,0.9353593015446608,0.890189210196723,0.9121513681573785,0.6
5,0.16666666666666666,3,car,14,unknown,0.30692391756936793,54.1822509765625,0.08858989638648135,0.5873117340096702,0.5873117340096702,0.5873117340096702,0.5873117340096702,0.5873117340096702,1.0,1.0,1.0,0.9353593015446608,0.9353593015446608,0.9482874412357287,0.6
5,0.16666666666666666,3,car,15,unknown,0.11019905192206703,42.98369598388672,0.11167024822154367,0.26580863840938573,0.26580863840938573,0.26580863840938573,0.26580863840938573,0.26580863840938573,1.0,0.586641295212786,1.0,0.9353593015446608,0.5487203921474867,0.6389763137179894,0.6
5,0.16666666666666666,3,car,16,unknown,0.4353302021093856,42.25909423828125,0.11358501847992339,1.0680549635116086,1.0680549635116086,1.0680549635116086,1.0680549635116086,1.0680549635116086,1.0,0.561376951132692,1.0,0.9353593015446608,0.525089152914746,0.6200713223317968,0.6
5,0.16666666666666666,3,car,17,unknown,0.25862289151516366,45.85444641113281,0.10467905242957262,0.5847638231607154,0.5847638231607154,0.5847638231607154,0.5847638231607154,0.5847638231607154,1.0,1.0,1.0,0.9353593015446608,0.9353593015446608,0.9482874412357287,0.6
5,0.16666666666666666,3,car,18,unknown,1.0449955916271423,46.14964294433594,0.10400947209471566,2.3476919002511933,2.3476919002511933,2.3476919002511933,2.3476919002511933,2.3476919002511933,1.0,1.0,1.0,0.9353593015446608,0.9353593015446608,0.9482874412357287,0.6
5,0.16666666666666666,5,truck,19,unknown,5.296266388473629,69.56069946289062,0.12938340283368394,14.801377701334694,14.801377701334694,14.801377701334694,14.801377701334694,14.801377701334694,1.0,1.0,1.0,0.9353593015446608,0.9353593015446608,0.9482874412357287,0.6
5,0.16666666666666666,3,car,20,unknown,0.400907882030357,34.90960693359375,0.1374979675116573,1.1906788090732712,1.1906788090732712,1.1906788090732712,1.1906788090732712,1.1906788090732712,1.0,0.5295392055766766,1.0,0.9353593015446608,0.49530942146871476,0.5962475371749718,0.5962475371749718
5,0.16666666666666666,3,car,21,unknown,0.37445582635786134,50.22351837158203,0.09557275467017029,0.7730159362700205,0.7730159362700205,0.7730159362700205,0.7730159362700205,0.7730159362700205,1.0,1.0,1.0,0.9353593015446608,0.9353593015446608,0.9482874412357287,0.6
5,0.16666666666666666,3,car,22,unknown,0.16799620521826997,45.844482421875,0.10470180371607048,0.3799333232022527,0.3799333232022527,0.3799333232022527,0.3799333232022527,0.3799333232022527,1.0,0.5633686469360111,1.0,0.9353593015446608,0.526952104110228,0.6215616832881824,0.6
